==19087== NVPROF is profiling process 19087, command: ./a.out 3
==19087== Profiling application: ./a.out 3
==19087== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
s,us,,,,,,,,B,B,,,,,
8.504586,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",13
8.504598,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",14
8.504610,7.136000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",15
8.504620,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",16
8.504631,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",17
8.504642,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",18
8.504653,7.136000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",19
8.504663,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",20
8.504674,7.264000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",21
8.504684,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",22
8.504695,7.232000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",23
8.504706,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",24
8.504716,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",25
8.504727,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",26
8.504737,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",27
8.504748,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",28
8.504759,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",29
8.504769,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",30
8.504780,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",31
8.504791,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",32
8.504801,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",33
8.504812,7.328000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",34
8.504823,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",35
8.504833,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",36
8.504844,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",37
8.504854,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",38
8.504865,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",39
8.504876,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",40
8.504886,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",41
8.504897,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",42
8.504908,7.136000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",43
8.504918,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",44
8.504929,7.264000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",45
8.504940,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",46
8.504950,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",47
8.504961,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",48
8.504971,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",49
8.504982,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",50
8.504993,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",51
8.505003,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",52
8.505014,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",53
8.505025,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",54
8.505035,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",55
8.505046,7.296000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",56
8.505057,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",57
8.505067,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",58
8.505078,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",59
8.505088,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",60
8.505099,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",61
8.505110,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",62
8.505120,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",63
8.505131,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",64
8.505142,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",65
8.505152,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",66
8.505163,7.296000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",67
8.505174,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",68
8.505184,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",69
8.505195,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",70
8.505205,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",71
8.505216,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",72
8.505227,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",73
8.505237,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",74
8.505248,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",75
8.505259,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",76
8.505269,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",77
8.505280,7.296000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",78
8.505291,7.136000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",79
8.505301,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",80
8.505312,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",81
8.505322,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",82
8.505333,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",83
8.505344,7.200000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",84
8.505354,7.168000,8,1,1,1,1,1,48,0,0,"Tesla V100-PCIE-16GB (2)","3","7","parsha256_kernel_gpu_firstRound(int*, int*)",85
